dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:g3,1,a a c c b c b b b c c c c b c c c b c b c b c b c b c c c b b c,32,positive,4,6,3,3,18480,2112,16368,51217,625,49104,1488,ok,SAT,28.967
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:g4,1,a a c c b c b b b c c c c b c c c b c b c b c b c b c c c b b c,32,positive,4,6,3,3,18480,2112,16368,51217,625,49104,1488,ok,SAT,39.591
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:gc3,1,a a c c b c b b b c c c c b c c c b c b c b c b c b c c c b b c,32,positive,4,6,3,3,18480,2112,16368,51217,625,49104,1488,ok,SAT,42.488
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:gc4,1,a a c c b c b b b c c c c b c c c b c b c b c b c b c c c b b c,32,positive,4,6,3,3,18480,2112,16368,51217,625,49104,1488,ok,SAT,42.122
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:m22,1,a a c c b c b b b c c c c b c c c b c b c b c b c b c c c b b c,32,positive,4,6,3,3,18480,2112,16368,51217,625,49104,1488,ok,SAT,36.080
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:mc,1,a a c c b c b b b c c c c b c c c b c b c b c b c b c c c b b c,32,positive,4,6,3,3,18480,2112,16368,51217,625,49104,1488,ok,SAT,42.031
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:mgh,1,a a c c b c b b b c c c c b c c c b c b c b c b c b c c c b b c,32,positive,4,6,3,3,18480,2112,16368,51217,625,49104,1488,ok,SAT,33.071
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pycryptosat,1,a a c c b c b b b c c c c b c c c b c b c b c b c b c c c b b c,32,positive,4,6,3,3,18480,2112,16368,51217,625,49104,1488,ok,SAT,25.130
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:g3,1,a a c c b c b c b c c c b c b c c c c c b c c c b c b b b b b c c c b b c c c,39,positive,4,6,3,3,32760,3120,29640,92041,898,88920,2223,ok,SAT,53.419
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:g4,1,a a c c b c b c b c c c b c b c c c c c b c c c b c b b b b b c c c b b c c c,39,positive,4,6,3,3,32760,3120,29640,92041,898,88920,2223,ok,SAT,53.979
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:gc3,1,a a c c b c b c b c c c b c b c c c c c b c c c b c b b b b b c c c b b c c c,39,positive,4,6,3,3,32760,3120,29640,92041,898,88920,2223,ok,SAT,81.184
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:gc4,1,a a c c b c b c b c c c b c b c c c c c b c c c b c b b b b b c c c b b c c c,39,positive,4,6,3,3,32760,3120,29640,92041,898,88920,2223,ok,SAT,72.901
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:m22,1,a a c c b c b c b c c c b c b c c c c c b c c c b c b b b b b c c c b b c c c,39,positive,4,6,3,3,32760,3120,29640,92041,898,88920,2223,ok,SAT,61.243
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:mc,1,a a c c b c b c b c c c b c b c c c c c b c c c b c b b b b b c c c b b c c c,39,positive,4,6,3,3,32760,3120,29640,92041,898,88920,2223,ok,SAT,74.274
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:mgh,1,a a c c b c b c b c c c b c b c c c c c b c c c b c b b b b b c c c b b c c c,39,positive,4,6,3,3,32760,3120,29640,92041,898,88920,2223,ok,SAT,60.205
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pycryptosat,1,a a c c b c b c b c c c b c b c c c c c b c c c b c b b b b b c c c b b c c c,39,positive,4,6,3,3,32760,3120,29640,92041,898,88920,2223,ok,SAT,38.280
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w3.cnf,pysat:g3,1,a a b b b c b c c c b b b b b b b c b b c b c b c c c c b c c b c b c c b b c c b c,42,positive,4,6,3,3,40635,3612,37023,114682,1030,111069,2583,ok,SAT,66.390
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w3.cnf,pysat:g4,1,a a b b b c b c c c b b b b b b b c b b c b c b c c c c b c c b c b c c b b c c b c,42,positive,4,6,3,3,40635,3612,37023,114682,1030,111069,2583,ok,SAT,68.303
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w3.cnf,pysat:gc3,1,a a b b b c b c c c b b b b b b b c b b c b c b c c c c b c c b c b c c b b c c b c,42,positive,4,6,3,3,40635,3612,37023,114682,1030,111069,2583,ok,SAT,97.190
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w3.cnf,pysat:gc4,1,a a b b b c b c c c b b b b b b b c b b c b c b c c c c b c c b c b c c b b c c b c,42,positive,4,6,3,3,40635,3612,37023,114682,1030,111069,2583,ok,SAT,102.996
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w3.cnf,pysat:m22,1,a a b b b c b c c c b b b b b b b c b b c b c b c c c c b c c b c b c c b b c c b c,42,positive,4,6,3,3,40635,3612,37023,114682,1030,111069,2583,ok,SAT,69.244
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w3.cnf,pysat:mc,1,a a b b b c b c c c b b b b b b b c b b c b c b c c c c b c c b c b c c b b c c b c,42,positive,4,6,3,3,40635,3612,37023,114682,1030,111069,2583,ok,SAT,80.732
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w3.cnf,pysat:mgh,1,a a b b b c b c c c b b b b b b b c b b c b c b c c c c b c c b c b c c b b c c b c,42,positive,4,6,3,3,40635,3612,37023,114682,1030,111069,2583,ok,SAT,70.576
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w3.cnf,pycryptosat,1,a a b b b c b c c c b b b b b b b c b b c b c b c c c c b c c b c b c c b b c c b c,42,positive,4,6,3,3,40635,3612,37023,114682,1030,111069,2583,ok,SAT,58.175
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w4.cnf,pysat:g3,1,a a b b c c b b b b c b c c b b b c b c b b b b b c c b c b b c c b,34,positive,4,6,3,3,22015,2380,19635,61286,698,58905,1683,ok,SAT,34.632
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w4.cnf,pysat:g4,1,a a b b c c b b b b c b c c b b b c b c b b b b b c c b c b b c c b,34,positive,4,6,3,3,22015,2380,19635,61286,698,58905,1683,ok,SAT,39.879
