dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:g3,1,a a b c c b b c b c b c c c c b b b c,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,6.973
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:g4,1,a a b c c b b c b c b c c c c b b b c,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,8.880
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:gc3,1,a a b c c b b c b c b c c c c b b b c,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,9.279
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:gc4,1,a a b c c b b c b c b c c c c b b b c,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,9.066
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:m22,1,a a b c c b b c b c b c c c c b b b c,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,7.473
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:mc,1,a a b c c b b c b c b c c c c b b b c,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,8.373
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pysat:mgh,1,a a b c c b b c b c b c c c c b b b c,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,7.065
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w1.cnf,pycryptosat,1,a a b c c b b c b c b c c c c b b b c,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,8.039
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:g3,1,a a b c c c c c c b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,3.951
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:g4,1,a a b c c c c c c b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,2.632
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:gc3,1,a a b c c c c c c b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,4.206
src\text\dimacs_outputs\benchmark_runs\g1\g1_positive_w2.cnf,pysat:gc4,1,a a b c c c c c c b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,6.912
