dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:m22,1,type id = Integer ; procedure id ( ) type id = id ; begin konšt_int >= konšt_int + konšt_real <= konšt_char <= ( ( konšt_int or id mod konšt_char <= konšt_real <= konšt_char > konšt_real ) mod konšt_boolean or konšt_boolean + konšt_char ) := konšt_int ; end,48,positive,180,324,95,229,4430776,211680,4219096,12868969,45865,12657288,165816,ok,SAT,7832.039
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:mc,1,type id = Integer ; procedure id ( ) type id = id ; begin konšt_int >= konšt_int + konšt_real <= konšt_char <= ( ( konšt_int or id mod konšt_char <= konšt_real <= konšt_char > konšt_real ) mod konšt_boolean or konšt_boolean + konšt_char ) := konšt_int ; end,48,positive,180,324,95,229,4430776,211680,4219096,12868969,45865,12657288,165816,ok,SAT,9110.063
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pysat:mgh,1,type id = Integer ; procedure id ( ) type id = id ; begin konšt_int >= konšt_int + konšt_real <= konšt_char <= ( ( konšt_int or id mod konšt_char <= konšt_real <= konšt_char > konšt_real ) mod konšt_boolean or konšt_boolean + konšt_char ) := konšt_int ; end,48,positive,180,324,95,229,4430776,211680,4219096,12868969,45865,12657288,165816,ok,SAT,8235.876
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w2.cnf,pycryptosat,1,type id = Integer ; procedure id ( ) type id = id ; begin konšt_int >= konšt_int + konšt_real <= konšt_char <= ( ( konšt_int or id mod konšt_char <= konšt_real <= konšt_char > konšt_real ) mod konšt_boolean or konšt_boolean + konšt_char ) := konšt_int ; end,48,positive,180,324,95,229,4430776,211680,4219096,12868969,45865,12657288,165816,ok,SAT,6174.077
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:g3,1,type id = Boolean ; procedure id ( ) type id = Char ; begin id or konšt_int - konšt_int = konšt_real := konšt_boolean = - id / konšt_boolean * konšt_real * konšt_char or konšt_real > konšt_boolean + - konšt_boolean ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,5215.179
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:g4,1,type id = Boolean ; procedure id ( ) type id = Char ; begin id or konšt_int - konšt_int = konšt_real := konšt_boolean = - id / konšt_boolean * konšt_real * konšt_char or konšt_real > konšt_boolean + - konšt_boolean ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,5149.484
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:gc3,1,type id = Boolean ; procedure id ( ) type id = Char ; begin id or konšt_int - konšt_int = konšt_real := konšt_boolean = - id / konšt_boolean * konšt_real * konšt_char or konšt_real > konšt_boolean + - konšt_boolean ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,5986.759
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:gc4,1,type id = Boolean ; procedure id ( ) type id = Char ; begin id or konšt_int - konšt_int = konšt_real := konšt_boolean = - id / konšt_boolean * konšt_real * konšt_char or konšt_real > konšt_boolean + - konšt_boolean ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,6190.060
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:m22,1,type id = Boolean ; procedure id ( ) type id = Char ; begin id or konšt_int - konšt_int = konšt_real := konšt_boolean = - id / konšt_boolean * konšt_real * konšt_char or konšt_real > konšt_boolean + - konšt_boolean ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,5868.420
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:mc,1,type id = Boolean ; procedure id ( ) type id = Char ; begin id or konšt_int - konšt_int = konšt_real := konšt_boolean = - id / konšt_boolean * konšt_real * konšt_char or konšt_real > konšt_boolean + - konšt_boolean ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,8025.589
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pysat:mgh,1,type id = Boolean ; procedure id ( ) type id = Char ; begin id or konšt_int - konšt_int = konšt_real := konšt_boolean = - id / konšt_boolean * konšt_real * konšt_char or konšt_real > konšt_boolean + - konšt_boolean ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,6951.027
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w3.cnf,pycryptosat,1,type id = Boolean ; procedure id ( ) type id = Char ; begin id or konšt_int - konšt_int = konšt_real := konšt_boolean = - id / konšt_boolean * konšt_real * konšt_char or konšt_real > konšt_boolean + - konšt_boolean ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,5174.451
