dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:g3,1,a a b c c b b c b c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.600
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:g4,1,a a b c c b b c b c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.689
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:gc3,1,a a b c c b b c b c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.656
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:gc4,1,a a b c c b b c b c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.160
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:m22,1,a a b c c b b c b c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.676
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:mc,1,a a b c c b b c b c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.647
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:mgh,1,a a b c c b b c b c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.593
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pycryptosat,1,a a b c c b b c b c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.513
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:g3,1,a a b b b b b c c b b b c c b b c c b,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,8.457
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:g4,1,a a b b b b b c c b b b c c b b c c b,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,15.008
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:gc3,1,a a b b b b b c c b b b c c b b c c b,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,10.461
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:gc4,1,a a b b b b b c c b b b c c b b c c b,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,9.811
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:m22,1,a a b b b b b c c b b b c c b b c c b,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,13.973
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:mc,1,a a b b b b b c c b b b c c b b c c b,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,9.720
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:mgh,1,a a b b b b b c c b b b c c b b c c b,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,9.952
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pycryptosat,1,a a b b b b b c c b b b c c b b c c b,19,positive,4,6,3,3,4180,760,3420,11021,248,10260,513,ok,SAT,7.531
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:g3,1,a a c b c b b c c c b c b b,14,positive,4,6,3,3,1785,420,1365,4516,148,4095,273,ok,SAT,3.093
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:g4,1,a a c b c b b c c c b c b b,14,positive,4,6,3,3,1785,420,1365,4516,148,4095,273,ok,SAT,4.683
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:gc3,1,a a c b c b b c c c b c b b,14,positive,4,6,3,3,1785,420,1365,4516,148,4095,273,ok,SAT,4.669
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:gc4,1,a a c b c b b c c c b c b b,14,positive,4,6,3,3,1785,420,1365,4516,148,4095,273,ok,SAT,5.373
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:m22,1,a a c b c b b c c c b c b b,14,positive,4,6,3,3,1785,420,1365,4516,148,4095,273,ok,SAT,4.251
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:mc,1,a a c b c b b c c c b c b b,14,positive,4,6,3,3,1785,420,1365,4516,148,4095,273,ok,SAT,4.175
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pysat:mgh,1,a a c b c b b c c c b c b b,14,positive,4,6,3,3,1785,420,1365,4516,148,4095,273,ok,SAT,3.231
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w3.cnf,pycryptosat,1,a a c b c b b c c c b c b b,14,positive,4,6,3,3,1785,420,1365,4516,148,4095,273,ok,SAT,2.899
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pysat:g3,1,a a b c b b c b b b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,3.873
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pysat:g4,1,a a b c b b c b b b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,3.279
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pysat:gc3,1,a a b c b b c b b b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,2.607
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pysat:gc4,1,a a b c b b c b b b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,4.928
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pysat:m22,1,a a b c b b c b b b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,3.109
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pysat:mc,1,a a b c b b c b b b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,9.862
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pysat:mgh,1,a a b c b b c b b b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,3.995
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w4.cnf,pycryptosat,1,a a b c b b c b b b b b c,13,positive,4,6,3,3,1456,364,1092,3641,131,3276,234,ok,SAT,5.114
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w5.cnf,pysat:g3,1,a a c b b c c b c b,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.523
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w5.cnf,pysat:g4,1,a a c b b c c b c b,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.624
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w5.cnf,pysat:gc3,1,a a c b b c c b c b,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.480
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w5.cnf,pysat:gc4,1,a a c b b c c b c b,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,3.218
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w5.cnf,pysat:m22,1,a a c b b c c b c b,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.248
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w5.cnf,pysat:mc,1,a a c b b c c b c b,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,3.232
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w5.cnf,pysat:mgh,1,a a c b b c c b c b,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.292
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w5.cnf,pycryptosat,1,a a c b b c c b c b,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.243
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w6.cnf,pysat:g3,1,a a c c c c c c c c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,3.328
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w6.cnf,pysat:g4,1,a a c c c c c c c c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.020
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w6.cnf,pysat:gc3,1,a a c c c c c c c c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.927
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w6.cnf,pysat:gc4,1,a a c c c c c c c c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.460
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w6.cnf,pysat:m22,1,a a c c c c c c c c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.802
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w6.cnf,pysat:mc,1,a a c c c c c c c c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,2.207
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w6.cnf,pysat:mgh,1,a a c c c c c c c c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.508
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w6.cnf,pycryptosat,1,a a c c c c c c c c,10,positive,4,6,3,3,715,220,495,1706,86,1485,135,ok,SAT,1.415
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w7.cnf,pysat:g3,1,a a b c c b b c c c c b b b b b b c,18,positive,4,6,3,3,3591,684,2907,9406,226,8721,459,ok,SAT,11.072
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w7.cnf,pysat:g4,1,a a b c c b b c c c c b b b b b b c,18,positive,4,6,3,3,3591,684,2907,9406,226,8721,459,ok,SAT,16.215
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w7.cnf,pysat:gc3,1,a a b c c b b c c c c b b b b b b c,18,positive,4,6,3,3,3591,684,2907,9406,226,8721,459,ok,SAT,17.643
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w7.cnf,pysat:gc4,1,a a b c c b b c c c c b b b b b b c,18,positive,4,6,3,3,3591,684,2907,9406,226,8721,459,ok,SAT,14.064
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w7.cnf,pysat:m22,1,a a b c c b b c c c c b b b b b b c,18,positive,4,6,3,3,3591,684,2907,9406,226,8721,459,ok,SAT,9.153
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w7.cnf,pysat:mc,1,a a b c c b b c c c c b b b b b b c,18,positive,4,6,3,3,3591,684,2907,9406,226,8721,459,ok,SAT,31.963
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w7.cnf,pysat:mgh,1,a a b c c b b c c c c b b b b b b c,18,positive,4,6,3,3,3591,684,2907,9406,226,8721,459,ok,SAT,9.469
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w7.cnf,pycryptosat,1,a a b c c b b c c c c b b b b b b c,18,positive,4,6,3,3,3591,684,2907,9406,226,8721,459,ok,SAT,8.919
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w8.cnf,pysat:g3,1,a a b b b c c b c c b b,12,positive,4,6,3,3,1170,312,858,2887,115,2574,198,ok,SAT,2.390
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w8.cnf,pysat:g4,1,a a b b b c c b c c b b,12,positive,4,6,3,3,1170,312,858,2887,115,2574,198,ok,SAT,3.255
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w8.cnf,pysat:gc3,1,a a b b b c c b c c b b,12,positive,4,6,3,3,1170,312,858,2887,115,2574,198,ok,SAT,2.691
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w8.cnf,pysat:gc4,1,a a b b b c c b c c b b,12,positive,4,6,3,3,1170,312,858,2887,115,2574,198,ok,SAT,2.395
