dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:g3,1,a a c,3,positive,4,6,3,3,36,24,12,61,16,36,9,ok,SAT,0.474
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:g4,1,a a c,3,positive,4,6,3,3,36,24,12,61,16,36,9,ok,SAT,0.458
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:gc3,1,a a c,3,positive,4,6,3,3,36,24,12,61,16,36,9,ok,SAT,0.418
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:gc4,1,a a c,3,positive,4,6,3,3,36,24,12,61,16,36,9,ok,SAT,0.460
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:m22,1,a a c,3,positive,4,6,3,3,36,24,12,61,16,36,9,ok,SAT,0.453
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:mc,1,a a c,3,positive,4,6,3,3,36,24,12,61,16,36,9,ok,SAT,0.361
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pysat:mgh,1,a a c,3,positive,4,6,3,3,36,24,12,61,16,36,9,ok,SAT,0.295
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w1.cnf,pycryptosat,1,a a c,3,positive,4,6,3,3,36,24,12,61,16,36,9,ok,SAT,1.153
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:g3,1,a a c c,4,positive,4,6,3,3,70,40,30,131,23,90,18,ok,SAT,1.173
src\text\dimacs_outputs\benchmark_runs\g2\g1_positive_w2.cnf,pysat:g4,1,a a c c,4,positive,4,6,3,3,70,40,30,131,23,90,18,ok,SAT,0.558
