dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:g3,1,a b a a b a b a b b b a b b b b a b a b a b b a b a a a a b a b b a a b a,37,positive,6,13,5,8,71706,4218,67488,206683,1555,202464,2664,ok,SAT,111.118
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:g4,1,a b a a b a b a b b b a b b b b a b a b a b b a b a a a a b a b b a a b a,37,positive,6,13,5,8,71706,4218,67488,206683,1555,202464,2664,ok,SAT,119.072
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:gc3,1,a b a a b a b a b b b a b b b b a b a b a b b a b a a a a b a b b a a b a,37,positive,6,13,5,8,71706,4218,67488,206683,1555,202464,2664,ok,SAT,139.176
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:gc4,1,a b a a b a b a b b b a b b b b a b a b a b b a b a a a a b a b b a a b a,37,positive,6,13,5,8,71706,4218,67488,206683,1555,202464,2664,ok,SAT,144.170
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:m22,1,a b a a b a b a b b b a b b b b a b a b a b b a b a a a a b a b b a a b a,37,positive,6,13,5,8,71706,4218,67488,206683,1555,202464,2664,ok,SAT,98.506
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:mc,1,a b a a b a b a b b b a b b b b a b a b a b b a b a a a a b a b b a a b a,37,positive,6,13,5,8,71706,4218,67488,206683,1555,202464,2664,ok,SAT,125.612
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:mgh,1,a b a a b a b a b b b a b b b b a b a b a b b a b a a a a b a b b a a b a,37,positive,6,13,5,8,71706,4218,67488,206683,1555,202464,2664,ok,SAT,221.015
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pycryptosat,1,a b a a b a b a b b b a b b b b a b a b a b b a b a a a a b a b b a a b a,37,positive,6,13,5,8,71706,4218,67488,206683,1555,202464,2664,ok,SAT,113.295
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:g3,1,a b b b a a b a a a a b a a a b a a b a b a b a b b b a a a a b b a a b b b a a a a b b a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,221.454
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:g4,1,a b b b a a b a a a a b a a a b a a b a b a b a b b b a a a a b b a a b b b a a a a b b a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,220.743
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:gc3,1,a b b b a a b a a a a b a a a b a a b a b a b a b b b a a a a b b a a b b b a a a a b b a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,255.232
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:gc4,1,a b b b a a b a a a a b a a a b a a b a b a b a b b b a a a a b b a a b b b a a a a b b a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,265.339
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:m22,1,a b b b a a b a a a a b a a a b a a b a b a b a b b b a a a a b b a a b b b a a a a b b a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,199.943
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:mc,1,a b b b a a b a a a a b a a a b a a b a b a b a b b b a a a a b b a a b b b a a a a b b a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,236.029
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:mgh,1,a b b b a a b a a a a b a a a b a a b a b a b a b b b a a a a b b a a b b b a a a a b b a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,193.005
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pycryptosat,1,a b b b a a b a a a a b a a a b a a b a b a b a b b b a a a a b b a a b b b a a a a b b a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,158.193
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:g3,1,a b a a b a a a b a a b b a a b a b a b b b a b a a a a a b b a a a,34,positive,6,13,5,8,55930,3570,52360,160651,1327,157080,2244,ok,SAT,93.285
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:g4,1,a b a a b a a a b a a b b a a b a b a b b b a b a a a a a b b a a a,34,positive,6,13,5,8,55930,3570,52360,160651,1327,157080,2244,ok,SAT,90.107
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:gc3,1,a b a a b a a a b a a b b a a b a b a b b b a b a a a a a b b a a a,34,positive,6,13,5,8,55930,3570,52360,160651,1327,157080,2244,ok,SAT,97.979
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:gc4,1,a b a a b a a a b a a b b a a b a b a b b b a b a a a a a b b a a a,34,positive,6,13,5,8,55930,3570,52360,160651,1327,157080,2244,ok,SAT,107.874
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:m22,1,a b a a b a a a b a a b b a a b a b a b b b a b a a a a a b b a a a,34,positive,6,13,5,8,55930,3570,52360,160651,1327,157080,2244,ok,SAT,83.957
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:mc,1,a b a a b a a a b a a b b a a b a b a b b b a b a a a a a b b a a a,34,positive,6,13,5,8,55930,3570,52360,160651,1327,157080,2244,ok,SAT,110.761
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:mgh,1,a b a a b a a a b a a b b a a b a b a b b b a b a a a a a b b a a a,34,positive,6,13,5,8,55930,3570,52360,160651,1327,157080,2244,ok,SAT,146.435
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pycryptosat,1,a b a a b a a a b a a b b a a b a b a b b b a b a a a a a b b a a a,34,positive,6,13,5,8,55930,3570,52360,160651,1327,157080,2244,ok,SAT,66.295
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:g3,1,a b b b b b a b b a a a b b a b a a b a b b b a b a a b a a a a b b a b b a a a b a b a a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,198.853
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:g4,1,a b b b b b a b b a a a b b a b a a b a b b b a b a a b a a a a b b a b b a a a b a b a a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,198.346
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:gc3,1,a b b b b b a b b a a a b b a b a a b a b b b a b a a b a a a a b b a b b a a a b a b a a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,236.824
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:gc4,1,a b b b b b a b b a a a b b a b a a b a b b b a b a a b a a a a b b a b b a a a b a b a a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,272.062
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:m22,1,a b b b b b a b b a a a b b a b a a b a b b b a b a a b a a a a b b a b b a a a b a b a a a,46,positive,6,13,5,8,136206,6486,129720,395647,2347,389160,4140,ok,SAT,204.279
