dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:g3,1,a a a,3,positive,6,13,5,8,68,36,32,133,25,96,12,ok,SAT,0.576
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:g4,1,a a a,3,positive,6,13,5,8,68,36,32,133,25,96,12,ok,SAT,0.479
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:gc3,1,a a a,3,positive,6,13,5,8,68,36,32,133,25,96,12,ok,SAT,0.548
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:gc4,1,a a a,3,positive,6,13,5,8,68,36,32,133,25,96,12,ok,SAT,0.610
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:m22,1,a a a,3,positive,6,13,5,8,68,36,32,133,25,96,12,ok,SAT,0.462
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:mc,1,a a a,3,positive,6,13,5,8,68,36,32,133,25,96,12,ok,SAT,0.487
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:mgh,1,a a a,3,positive,6,13,5,8,68,36,32,133,25,96,12,ok,SAT,0.658
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pycryptosat,1,a a a,3,positive,6,13,5,8,68,36,32,133,25,96,12,ok,SAT,0.592
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:g3,1,a a b a,4,positive,6,13,5,8,140,60,80,301,37,240,24,ok,SAT,0.719
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:g4,1,a a b a,4,positive,6,13,5,8,140,60,80,301,37,240,24,ok,SAT,0.871
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:gc3,1,a a b a,4,positive,6,13,5,8,140,60,80,301,37,240,24,ok,SAT,1.109
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:gc4,1,a a b a,4,positive,6,13,5,8,140,60,80,301,37,240,24,ok,SAT,1.994
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:m22,1,a a b a,4,positive,6,13,5,8,140,60,80,301,37,240,24,ok,SAT,1.103
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:mc,1,a a b a,4,positive,6,13,5,8,140,60,80,301,37,240,24,ok,SAT,1.306
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:mgh,1,a a b a,4,positive,6,13,5,8,140,60,80,301,37,240,24,ok,SAT,0.813
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pycryptosat,1,a a b a,4,positive,6,13,5,8,140,60,80,301,37,240,24,ok,SAT,0.493
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:g3,1,a a b a a a a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,1.141
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:g4,1,a a b a a a a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,1.692
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:gc3,1,a a b a a a a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,2.333
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:gc4,1,a a b a a a a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,2.696
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:m22,1,a a b a a a a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,1.264
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:mc,1,a a b a a a a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,2.036
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:mgh,1,a a b a a a a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,1.103
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pycryptosat,1,a a b a a a a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,2.213
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:g3,1,a a b b b b a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,2.199
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:g4,1,a a b b b b a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,1.211
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:gc3,1,a a b b b b a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,2.121
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:gc4,1,a a b b b b a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,2.017
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:m22,1,a a b b b b a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,1.827
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:mc,1,a a b b b b a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,1.449
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pysat:mgh,1,a a b b b b a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,2.115
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w4.cnf,pycryptosat,1,a a b b b b a,7,positive,6,13,5,8,616,168,448,1513,85,1344,84,ok,SAT,1.436
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w5.cnf,pysat:g3,1,b b a b b a b b a,9,positive,6,13,5,8,1230,270,960,3151,127,2880,144,ok,SAT,2.066
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w5.cnf,pysat:g4,1,b b a b b a b b a,9,positive,6,13,5,8,1230,270,960,3151,127,2880,144,ok,SAT,2.864
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w5.cnf,pysat:gc3,1,b b a b b a b b a,9,positive,6,13,5,8,1230,270,960,3151,127,2880,144,ok,SAT,4.620
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w5.cnf,pysat:gc4,1,b b a b b a b b a,9,positive,6,13,5,8,1230,270,960,3151,127,2880,144,ok,SAT,2.822
