dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:g3,1,b a a b a a b b a b a,11,positive,6,13,5,8,2156,396,1760,5677,177,5280,220,ok,SAT,3.384
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:g4,1,b a a b a a b b a b a,11,positive,6,13,5,8,2156,396,1760,5677,177,5280,220,ok,SAT,5.574
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:gc3,1,b a a b a a b b a b a,11,positive,6,13,5,8,2156,396,1760,5677,177,5280,220,ok,SAT,4.482
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:gc4,1,b a a b a a b b a b a,11,positive,6,13,5,8,2156,396,1760,5677,177,5280,220,ok,SAT,6.788
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:m22,1,b a a b a a b b a b a,11,positive,6,13,5,8,2156,396,1760,5677,177,5280,220,ok,SAT,4.095
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:mc,1,b a a b a a b b a b a,11,positive,6,13,5,8,2156,396,1760,5677,177,5280,220,ok,SAT,4.748
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pysat:mgh,1,b a a b a a b b a b a,11,positive,6,13,5,8,2156,396,1760,5677,177,5280,220,ok,SAT,4.188
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w1.cnf,pycryptosat,1,b a a b a a b b a b a,11,positive,6,13,5,8,2156,396,1760,5677,177,5280,220,ok,SAT,7.731
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:g3,1,b b a b a b b a a b a b b b a,15,positive,6,13,5,8,5200,720,4480,14161,301,13440,420,ok,SAT,12.935
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:g4,1,b b a b a b b a a b a b b b a,15,positive,6,13,5,8,5200,720,4480,14161,301,13440,420,ok,SAT,10.457
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:gc3,1,b b a b a b b a a b a b b b a,15,positive,6,13,5,8,5200,720,4480,14161,301,13440,420,ok,SAT,14.195
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:gc4,1,b b a b a b b a a b a b b b a,15,positive,6,13,5,8,5200,720,4480,14161,301,13440,420,ok,SAT,16.399
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:m22,1,b b a b a b b a a b a b b b a,15,positive,6,13,5,8,5200,720,4480,14161,301,13440,420,ok,SAT,15.521
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:mc,1,b b a b a b b a a b a b b b a,15,positive,6,13,5,8,5200,720,4480,14161,301,13440,420,ok,SAT,16.146
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pysat:mgh,1,b b a b a b b a a b a b b b a,15,positive,6,13,5,8,5200,720,4480,14161,301,13440,420,ok,SAT,13.987
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w2.cnf,pycryptosat,1,b b a b a b b a a b a b b b a,15,positive,6,13,5,8,5200,720,4480,14161,301,13440,420,ok,SAT,10.506
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:g3,1,a b a a b b a a a a a a b a a a,16,positive,6,13,5,8,6256,816,5440,17137,337,16320,480,ok,SAT,10.682
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:g4,1,a b a a b b a a a a a a b a a a,16,positive,6,13,5,8,6256,816,5440,17137,337,16320,480,ok,SAT,13.028
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:gc3,1,a b a a b b a a a a a a b a a a,16,positive,6,13,5,8,6256,816,5440,17137,337,16320,480,ok,SAT,15.277
src\text\dimacs_outputs\benchmark_runs\grammars\g1_positive_w3.cnf,pysat:gc4,1,a b a a b b a a a a a a b a a a,16,positive,6,13,5,8,6256,816,5440,17137,337,16320,480,ok,SAT,13.305
